sales_id,order_id,product_id,price_per_unit,quantity_x,total_price,product_type,product_name,size,colour,price,quantity_y,description,customer_id,payment,order_date,delivery_date,customer_name,gender,age,home_address,zip_code,city,state,country,status,age_group
10,2,157,91,3,273,Shirt,Linen,M,green,116,42,"A green coloured, M sized, Linen Shirt",473,50490,2021-02-03,2021-02-13,fulan 473,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,Active,Adults
11,2,1174,99,2,198,Trousers,High-Waisted,XL,green,98,78,"A green coloured, XL sized, High-Waisted Trousers",473,50490,2021-02-03,2021-02-13,fulan 473,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,Active,Adults
12,3,54,104,1,104,Shirt,Dress,XL,green,119,52,"A green coloured, XL sized, Dress Shirt",774,46763,2021-10-08,2021-11-03,fulan 774,Prefer not to say,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia,Active,Adults
13,3,6,96,2,192,Shirt,Oxford Cloth,S,orange,114,72,"A orange coloured, S sized, Oxford Cloth Shirt",774,46763,2021-10-08,2021-11-03,fulan 774,Prefer not to say,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia,Active,Adults
14,3,1010,106,2,212,Trousers,Wool,XS,violet,111,80,"A violet coloured, XS sized, Wool Trousers",774,46763,2021-10-08,2021-11-03,fulan 774,Prefer not to say,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia,Active,Adults
15,4,1033,90,1,90,Trousers,Relaxed Leg,L,green,95,62,"A green coloured, L sized, Relaxed Leg Trousers",433,39782,2021-05-06,2021-05-19,fulan 433,Prefer not to say,46,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia,Active,Adults
16,4,1184,99,3,297,Trousers,High-Waisted,XL,indigo,98,57,"A indigo coloured, XL sized, High-Waisted Trousers",433,39782,2021-05-06,2021-05-19,fulan 433,Prefer not to say,46,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia,Active,Adults
17,4,769,109,1,109,Jacket,Peacoat,XL,violet,102,42,"A violet coloured, XL sized, Peacoat Jacket",433,39782,2021-05-06,2021-05-19,fulan 433,Prefer not to say,46,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia,Active,Adults
18,4,923,96,3,288,Trousers,Drawstring,L,yellow,104,68,"A yellow coloured, L sized, Drawstring Trousers",433,39782,2021-05-06,2021-05-19,fulan 433,Prefer not to say,46,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia,Active,Adults
19,4,12,96,2,192,Shirt,Oxford Cloth,M,yellow,114,56,"A yellow coloured, M sized, Oxford Cloth Shirt",433,39782,2021-05-06,2021-05-19,fulan 433,Prefer not to say,46,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia,Active,Adults
20,5,148,91,2,182,Shirt,Linen,L,orange,116,73,"A orange coloured, L sized, Linen Shirt",441,14719,2021-03-23,2021-03-24,fulan 441,Prefer not to say,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,Active,Adults
21,5,475,118,2,236,Jacket,Puffer,XS,blue,110,57,"A blue coloured, XS sized, Puffer Jacket",441,14719,2021-03-23,2021-03-24,fulan 441,Prefer not to say,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,Active,Adults
22,5,1,96,3,288,Shirt,Oxford Cloth,S,red,114,53,"A red coloured, S sized, Oxford Cloth Shirt",441,14719,2021-03-23,2021-03-24,fulan 441,Prefer not to say,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,Active,Adults
23,5,830,117,3,351,Jacket,Shearling,XS,indigo,95,68,"A indigo coloured, XS sized, Shearling Jacket",441,14719,2021-03-23,2021-03-24,fulan 441,Prefer not to say,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,Active,Adults
24,5,1209,105,3,315,Trousers,Pleated,XL,green,90,55,"A green coloured, XL sized, Pleated Trousers",441,14719,2021-03-23,2021-03-24,fulan 441,Prefer not to say,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,Active,Adults
25,5,635,93,3,279,Jacket,Coach,XS,orange,115,42,"A orange coloured, XS sized, Coach Jacket",441,14719,2021-03-23,2021-03-24,fulan 441,Prefer not to say,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,Active,Adults
26,5,639,93,3,279,Jacket,Coach,XL,orange,115,46,"A orange coloured, XL sized, Coach Jacket",441,14719,2021-03-23,2021-03-24,fulan 441,Prefer not to say,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,Active,Adults
27,5,695,113,1,113,Jacket,Parka,XS,violet,119,59,"A violet coloured, XS sized, Parka Jacket",441,14719,2021-03-23,2021-03-24,fulan 441,Prefer not to say,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,Active,Adults
28,6,38,104,2,208,Shirt,Dress,L,red,119,79,"A red coloured, L sized, Dress Shirt",800,16197,2021-09-09,2021-10-05,fulan 800,Prefer not to say,49,3570 Sarah AvenueApt. 092,4505,Daughertyport,Queensland,Australia,Active,Adults
29,6,473,118,2,236,Jacket,Puffer,L,green,110,43,"A green coloured, L sized, Puffer Jacket",800,16197,2021-09-09,2021-10-05,fulan 800,Prefer not to say,49,3570 Sarah AvenueApt. 092,4505,Daughertyport,Queensland,Australia,Active,Adults
30,6,242,106,1,106,Shirt,Chambray,M,violet,105,72,"A violet coloured, M sized, Chambray Shirt",800,16197,2021-09-09,2021-10-05,fulan 800,Prefer not to say,49,3570 Sarah AvenueApt. 092,4505,Daughertyport,Queensland,Australia,Active,Adults
31,6,804,91,2,182,Jacket,Pullover,XL,violet,114,69,"A violet coloured, XL sized, Pullover Jacket",800,16197,2021-09-09,2021-10-05,fulan 800,Prefer not to say,49,3570 Sarah AvenueApt. 092,4505,Daughertyport,Queensland,Australia,Active,Adults
32,7,850,113,2,226,Trousers,Chinos,XS,yellow,100,41,"A yellow coloured, XS sized, Chinos Trousers",626,37666,2021-04-05,2021-04-11,fulan 626,Prefer not to say,64,72 Hunter Station StApt. 220,1807,Walterstad,New South Wales,Australia,Active,Adults
33,7,1162,99,3,297,Trousers,High-Waisted,M,orange,98,69,"A orange coloured, M sized, High-Waisted Trousers",626,37666,2021-04-05,2021-04-11,fulan 626,Prefer not to say,64,72 Hunter Station StApt. 220,1807,Walterstad,New South Wales,Australia,Active,Adults
34,8,765,109,1,109,Jacket,Peacoat,XS,violet,102,54,"A violet coloured, XS sized, Peacoat Jacket",58,28484,2021-04-12,2021-05-01,fulan 58,Prefer not to say,39,260 Lily PassSuite 549,2783,Amelieburgh,New South Wales,Australia,Active,Adults
35,8,256,95,2,190,Shirt,Polo,S,yellow,117,77,"A yellow coloured, S sized, Polo Shirt",58,28484,2021-04-12,2021-05-01,fulan 58,Prefer not to say,39,260 Lily PassSuite 549,2783,Amelieburgh,New South Wales,Australia,Active,Adults
36,9,203,98,1,98,Shirt,Camp Collared,L,indigo,112,72,"A indigo coloured, L sized, Camp Collared Shirt",852,12896,2021-05-01,2021-05-11,fulan 852,Prefer not to say,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,Active,Seniors
37,9,486,118,2,236,Jacket,Puffer,S,violet,110,46,"A violet coloured, S sized, Puffer Jacket",852,12896,2021-05-01,2021-05-11,fulan 852,Prefer not to say,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,Active,Seniors
38,9,708,119,1,119,Jacket,Trench Coat,L,orange,112,70,"A orange coloured, L sized, Trench Coat Jacket",852,12896,2021-05-01,2021-05-11,fulan 852,Prefer not to say,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,Active,Seniors
39,9,1040,90,2,180,Trousers,Relaxed Leg,XS,indigo,95,60,"A indigo coloured, XS sized, Relaxed Leg Trousers",852,12896,2021-05-01,2021-05-11,fulan 852,Prefer not to say,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,Active,Seniors
40,9,917,96,3,288,Trousers,Drawstring,M,orange,104,76,"A orange coloured, M sized, Drawstring Trousers",852,12896,2021-05-01,2021-05-11,fulan 852,Prefer not to say,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,Active,Seniors
41,9,1061,93,2,186,Trousers,Joggers,S,yellow,94,76,"A yellow coloured, S sized, Joggers Trousers",852,12896,2021-05-01,2021-05-11,fulan 852,Prefer not to say,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,Active,Seniors
42,9,35,104,2,208,Shirt,Dress,XS,red,119,63,"A red coloured, XS sized, Dress Shirt",852,12896,2021-05-01,2021-05-11,fulan 852,Prefer not to say,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,Active,Seniors
43,10,325,109,3,327,Shirt,Mandarin Collar,XS,yellow,108,45,"A yellow coloured, XS sized, Mandarin Collar Shirt",659,21922,2021-10-15,2021-10-16,fulan 659,Prefer not to say,57,14 O'neill View RdApt. 908,9653,Sophiemouth,Tasmania,Australia,Active,Adults
44,10,860,113,2,226,Trousers,Chinos,XS,blue,100,69,"A blue coloured, XS sized, Chinos Trousers",659,21922,2021-10-15,2021-10-16,fulan 659,Prefer not to say,57,14 O'neill View RdApt. 908,9653,Sophiemouth,Tasmania,Australia,Active,Adults
45,10,426,107,3,321,Jacket,Denim,S,orange,92,51,"A orange coloured, S sized, Denim Jacket",659,21922,2021-10-15,2021-10-16,fulan 659,Prefer not to say,57,14 O'neill View RdApt. 908,9653,Sophiemouth,Tasmania,Australia,Active,Adults
46,11,877,94,2,188,Trousers,Cords,M,red,113,68,"A red coloured, M sized, Cords Trousers",785,36624,2021-06-15,2021-06-30,fulan 785,Prefer not to say,54,82 Beahan BoulevardSuite 281,2683,Port Adamburgh,Northern Territory,Australia,Active,Adults
47,11,780,91,3,273,Jacket,Pullover,XS,yellow,114,65,"A yellow coloured, XS sized, Pullover Jacket",785,36624,2021-06-15,2021-06-30,fulan 785,Prefer not to say,54,82 Beahan BoulevardSuite 281,2683,Port Adamburgh,Northern Territory,Australia,Active,Adults
48,12,782,91,1,91,Jacket,Pullover,M,yellow,114,49,"A yellow coloured, M sized, Pullover Jacket",120,55507,2021-06-30,2021-07-11,fulan 120,Prefer not to say,60,13 Ivy BoulevardSuite 234,3554,Carterbury,Queensland,Australia,Active,Adults
49,12,632,93,2,186,Jacket,Coach,M,red,115,76,"A red coloured, M sized, Coach Jacket",120,55507,2021-06-30,2021-07-11,fulan 120,Prefer not to say,60,13 Ivy BoulevardSuite 234,3554,Carterbury,Queensland,Australia,Active,Adults
50,12,846,113,3,339,Trousers,Chinos,S,orange,100,58,"A orange coloured, S sized, Chinos Trousers",120,55507,2021-06-30,2021-07-11,fulan 120,Prefer not to say,60,13 Ivy BoulevardSuite 234,3554,Carterbury,Queensland,Australia,Active,Adults
51,12,180,98,1,98,Shirt,Camp Collared,XS,orange,112,52,"A orange coloured, XS sized, Camp Collared Shirt",120,55507,2021-06-30,2021-07-11,fulan 120,Prefer not to say,60,13 Ivy BoulevardSuite 234,3554,Carterbury,Queensland,Australia,Active,Adults
52,13,217,106,2,212,Shirt,Chambray,M,orange,105,43,"A orange coloured, M sized, Chambray Shirt",204,57810,2021-10-15,2021-10-31,fulan 204,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,Active,Adults
53,13,95,118,3,354,Shirt,Flannel,XS,indigo,96,46,"A indigo coloured, XS sized, Flannel Shirt",204,57810,2021-10-15,2021-10-31,fulan 204,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,Active,Adults
54,13,800,91,2,182,Jacket,Pullover,XS,violet,114,61,"A violet coloured, XS sized, Pullover Jacket",204,57810,2021-10-15,2021-10-31,fulan 204,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,Active,Adults
55,13,835,117,1,117,Jacket,Shearling,XS,violet,95,75,"A violet coloured, XS sized, Shearling Jacket",204,57810,2021-10-15,2021-10-31,fulan 204,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,Active,Adults
56,13,1249,112,2,224,Trousers,Tracksuit Bottoms,XL,blue,91,68,"A blue coloured, XL sized, Tracksuit Bottoms Trousers",204,57810,2021-10-15,2021-10-31,fulan 204,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,Active,Adults
57,13,753,109,2,218,Jacket,Peacoat,L,green,102,73,"A green coloured, L sized, Peacoat Jacket",204,57810,2021-10-15,2021-10-31,fulan 204,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,Active,Adults
58,13,114,92,3,276,Shirt,Denim,XL,orange,115,67,"A orange coloured, XL sized, Denim Shirt",204,57810,2021-10-15,2021-10-31,fulan 204,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,Active,Adults
59,14,1202,105,2,210,Trousers,Pleated,M,yellow,90,54,"A yellow coloured, M sized, Pleated Trousers",957,21270,2021-03-29,2021-04-12,fulan 957,Male,75,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia,Active,Seniors
60,14,227,106,3,318,Shirt,Chambray,M,green,105,56,"A green coloured, M sized, Chambray Shirt",957,21270,2021-03-29,2021-04-12,fulan 957,Male,75,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia,Active,Seniors
61,14,108,92,2,184,Shirt,Denim,L,red,115,52,"A red coloured, L sized, Denim Shirt",957,21270,2021-03-29,2021-04-12,fulan 957,Male,75,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia,Active,Seniors
62,14,91,118,3,354,Shirt,Flannel,S,blue,96,43,"A blue coloured, S sized, Flannel Shirt",957,21270,2021-03-29,2021-04-12,fulan 957,Male,75,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia,Active,Seniors
63,14,909,94,2,188,Trousers,Cords,XL,violet,113,73,"A violet coloured, XL sized, Cords Trousers",957,21270,2021-03-29,2021-04-12,fulan 957,Male,75,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia,Active,Seniors
64,15,699,113,3,339,Jacket,Parka,XL,violet,119,80,"A violet coloured, XL sized, Parka Jacket",468,15488,2021-09-22,2021-10-08,fulan 468,Prefer not to say,67,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia,Active,Seniors
65,15,1195,105,3,315,Trousers,Pleated,XS,orange,90,74,"A orange coloured, XS sized, Pleated Trousers",468,15488,2021-09-22,2021-10-08,fulan 468,Prefer not to say,67,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia,Active,Seniors
66,15,291,105,2,210,Shirt,Cuban Collar,S,yellow,93,41,"A yellow coloured, S sized, Cuban Collar Shirt",468,15488,2021-09-22,2021-10-08,fulan 468,Prefer not to say,67,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia,Active,Seniors
67,15,972,97,3,291,Trousers,Slim-Fit,M,indigo,119,67,"A indigo coloured, M sized, Slim-Fit Trousers",468,15488,2021-09-22,2021-10-08,fulan 468,Prefer not to say,67,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia,Active,Seniors
68,15,1212,105,2,210,Trousers,Pleated,M,blue,90,66,"A blue coloured, M sized, Pleated Trousers",468,15488,2021-09-22,2021-10-08,fulan 468,Prefer not to say,67,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia,Active,Seniors
69,16,7,96,3,288,Shirt,Oxford Cloth,M,orange,114,77,"A orange coloured, M sized, Oxford Cloth Shirt",564,36479,2021-07-07,2021-07-08,fulan 564,Prefer not to say,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,Active,Adults
70,16,381,94,3,282,Shirt,Henley,S,violet,92,43,"A violet coloured, S sized, Henley Shirt",564,36479,2021-07-07,2021-07-08,fulan 564,Prefer not to say,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,Active,Adults
71,16,17,96,2,192,Shirt,Oxford Cloth,M,green,114,60,"A green coloured, M sized, Oxford Cloth Shirt",564,36479,2021-07-07,2021-07-08,fulan 564,Prefer not to say,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,Active,Adults
72,16,297,105,2,210,Shirt,Cuban Collar,M,green,93,45,"A green coloured, M sized, Cuban Collar Shirt",564,36479,2021-07-07,2021-07-08,fulan 564,Prefer not to say,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,Active,Adults
73,16,28,96,1,96,Shirt,Oxford Cloth,L,indigo,114,70,"A indigo coloured, L sized, Oxford Cloth Shirt",564,36479,2021-07-07,2021-07-08,fulan 564,Prefer not to say,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,Active,Adults
74,16,934,96,1,96,Trousers,Drawstring,XL,blue,104,60,"A blue coloured, XL sized, Drawstring Trousers",564,36479,2021-07-07,2021-07-08,fulan 564,Prefer not to say,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,Active,Adults
75,16,324,109,3,327,Shirt,Mandarin Collar,XL,orange,108,59,"A orange coloured, XL sized, Mandarin Collar Shirt",564,36479,2021-07-07,2021-07-08,fulan 564,Prefer not to say,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,Active,Adults
76,16,578,100,2,200,Jacket,Bomber,L,green,90,78,"A green coloured, L sized, Bomber Jacket",564,36479,2021-07-07,2021-07-08,fulan 564,Prefer not to say,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,Active,Adults
77,16,273,95,1,95,Shirt,Polo,L,indigo,117,60,"A indigo coloured, L sized, Polo Shirt",564,36479,2021-07-07,2021-07-08,fulan 564,Prefer not to say,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,Active,Adults
78,17,132,92,2,184,Shirt,Denim,M,indigo,115,56,"A indigo coloured, M sized, Denim Shirt",614,51822,2021-02-09,2021-02-11,fulan 614,Prefer not to say,45,627 Weber PassApt. 498,7529,Samuelside,New South Wales,Australia,Active,Adults
79,17,791,91,2,182,Jacket,Pullover,S,blue,114,73,"A blue coloured, S sized, Pullover Jacket",614,51822,2021-02-09,2021-02-11,fulan 614,Prefer not to say,45,627 Weber PassApt. 498,7529,Samuelside,New South Wales,Australia,Active,Adults
80,17,463,118,1,118,Jacket,Puffer,L,orange,110,66,"A orange coloured, L sized, Puffer Jacket",614,51822,2021-02-09,2021-02-11,fulan 614,Prefer not to say,45,627 Weber PassApt. 498,7529,Samuelside,New South Wales,Australia,Active,Adults
81,17,1066,93,2,186,Trousers,Joggers,S,green,94,76,"A green coloured, S sized, Joggers Trousers",614,51822,2021-02-09,2021-02-11,fulan 614,Prefer not to say,45,627 Weber PassApt. 498,7529,Samuelside,New South Wales,Australia,Active,Adults
82,18,35,104,1,104,Shirt,Dress,XS,red,119,63,"A red coloured, XS sized, Dress Shirt",299,22902,2021-01-01,2021-01-03,fulan 299,Prefer not to say,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,Active,Adults
83,18,970,97,3,291,Trousers,Slim-Fit,XS,indigo,119,74,"A indigo coloured, XS sized, Slim-Fit Trousers",299,22902,2021-01-01,2021-01-03,fulan 299,Prefer not to say,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,Active,Adults
84,18,285,105,1,105,Shirt,Cuban Collar,XS,orange,93,62,"A orange coloured, XS sized, Cuban Collar Shirt",299,22902,2021-01-01,2021-01-03,fulan 299,Prefer not to say,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,Active,Adults
85,18,1110,115,3,345,Trousers,Cropped,XS,indigo,99,55,"A indigo coloured, XS sized, Cropped Trousers",299,22902,2021-01-01,2021-01-03,fulan 299,Prefer not to say,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,Active,Adults
86,18,452,107,1,107,Jacket,Denim,M,violet,92,43,"A violet coloured, M sized, Denim Jacket",299,22902,2021-01-01,2021-01-03,fulan 299,Prefer not to say,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,Active,Adults
87,19,71,118,1,118,Shirt,Flannel,S,red,96,59,"A red coloured, S sized, Flannel Shirt",513,56754,2021-08-30,2021-09-10,fulan 513,Prefer not to say,39,051 White WayApt. 392,2358,Port Ali,Tasmania,Australia,Active,Adults
88,19,347,109,2,218,Shirt,Mandarin Collar,M,violet,108,76,"A violet coloured, M sized, Mandarin Collar Shirt",513,56754,2021-08-30,2021-09-10,fulan 513,Prefer not to say,39,051 White WayApt. 392,2358,Port Ali,Tasmania,Australia,Active,Adults
89,19,316,109,2,218,Shirt,Mandarin Collar,S,red,108,48,"A red coloured, S sized, Mandarin Collar Shirt",513,56754,2021-08-30,2021-09-10,fulan 513,Prefer not to say,39,051 White WayApt. 392,2358,Port Ali,Tasmania,Australia,Active,Adults
90,19,809,117,3,351,Jacket,Shearling,XL,red,95,42,"A red coloured, XL sized, Shearling Jacket",513,56754,2021-08-30,2021-09-10,fulan 513,Prefer not to say,39,051 White WayApt. 392,2358,Port Ali,Tasmania,Australia,Active,Adults
91,19,682,113,3,339,Jacket,Parka,M,green,119,71,"A green coloured, M sized, Parka Jacket",513,56754,2021-08-30,2021-09-10,fulan 513,Prefer not to say,39,051 White WayApt. 392,2358,Port Ali,Tasmania,Australia,Active,Adults
92,20,596,112,2,224,Jacket,Cardigan,S,red,118,47,"A red coloured, S sized, Cardigan Jacket",789,45129,2021-01-13,2021-01-20,fulan 789,Prefer not to say,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,Active,Adults
93,20,85,118,3,354,Shirt,Flannel,XS,green,96,55,"A green coloured, XS sized, Flannel Shirt",789,45129,2021-01-13,2021-01-20,fulan 789,Prefer not to say,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,Active,Adults
94,20,571,100,1,100,Jacket,Bomber,S,yellow,90,64,"A yellow coloured, S sized, Bomber Jacket",789,45129,2021-01-13,2021-01-20,fulan 789,Prefer not to say,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,Active,Adults
95,20,1114,115,3,345,Trousers,Cropped,XL,indigo,99,58,"A indigo coloured, XL sized, Cropped Trousers",789,45129,2021-01-13,2021-01-20,fulan 789,Prefer not to say,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,Active,Adults
96,20,514,102,3,306,Jacket,Windbreaker,XL,blue,109,59,"A blue coloured, XL sized, Windbreaker Jacket",789,45129,2021-01-13,2021-01-20,fulan 789,Prefer not to say,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,Active,Adults
97,20,681,113,1,113,Jacket,Parka,S,green,119,62,"A green coloured, S sized, Parka Jacket",789,45129,2021-01-13,2021-01-20,fulan 789,Prefer not to say,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,Active,Adults
98,20,1114,115,1,115,Trousers,Cropped,XL,indigo,99,58,"A indigo coloured, XL sized, Cropped Trousers",789,45129,2021-01-13,2021-01-20,fulan 789,Prefer not to say,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,Active,Adults
99,21,7,96,1,96,Shirt,Oxford Cloth,M,orange,114,77,"A orange coloured, M sized, Oxford Cloth Shirt",124,11261,2021-04-04,2021-04-17,fulan 124,Prefer not to say,54,65 Eli AvenueApt. 473,4983,Donnellyfort,New South Wales,Australia,Active,Adults
